"Target","X","Y","Z"
"Target_1",-3422.6,-1130.6,-1276.4
"Target_2",-3453.6,827.1,-1275.7
"Target_3",-3481,2958.9,-1290.1
"Target_4",-3424,-1126.4,513.7
"Target_5",-3449.9,845.6,529.5
"Target_6",-3476.3,2971.9,547.5
"Target_7",-3424.2,-1125.2,1964
"Target_8",-3448.2,839.8,1952.2
"Target_9",-3473.8,2969.2,1943.4
"Target_10",557.9,4831.1,-1298.7
"Target_11",3909.6,4871.4,-1288.8
"Target_12",568.6,4827.9,193.9
"Target_13",3913,4869.3,168
"Target_14",577.5,4823.4,1412.7
"Target_15",2101.3,4837.9,1027.8
"Target_16",3920.8,4860.2,1430.1
"Target_17",9860.1,2672.5,529.2
"Target_18",9906,-966.9,-1269.7
"Target_19",9914,-1370.3,494.4
"Target_20",9911.1,-962.4,1941.9
