"Target","X","Y","Z"
"Target_1",8399,892.8,-437.7
"Target_2",8422.1,-1065.2,-437.3
"Target_3",8440.9,-3196.2,-452.3
"Target_4",8400.5,887.8,1351.9
"Target_5",8418.7,-1083.7,1367.8
"Target_6",8436.4,-3210.4,1385.4
"Target_7",8400.7,886.8,2802.7
"Target_8",8417.1,-1078.8,2789.6
"Target_9",8434,-3208,2780.7
"Target_10",4394.1,-5053.4,-460.5
"Target_11",1042.5,-5079.8,-450.4
"Target_12",4383.9,-5050.2,1031.7
"Target_13",1038.5,-5078,1005.7
"Target_14",4374.9,-5046.3,2250.4
"Target_15",2850.8,-5054.6,1865.6
"Target_16",1030.9,-5068.9,2268.1
"Target_17",-4899.4,-2857.4,1368.5
"Target_18",-4930.7,783.6,-429.3
"Target_19",-4936.9,1186.6,1334.7
"Target_20",-4935.5,778.6,2783.5
