"TargetID","X","Y","Z","X","Y","Z","X","Y","Z","X","Y","Z"
"Target_1",-3422.6,-1130.6,-1276.4,-2871.7,5966.5,-1272.5,9209,512.8,-435.7,914.6,-5884.5,-441
"Target_10",557.9,4831.1,-1298.7,3039.2,1910.4,-1295.1,5140.3,-5388.8,-458.8,-5037.7,-1889.1,-463.9
"Target_11",3909.6,4871.4,-1288.8,3036.8,-1441.4,-1284.6,1788.6,-5378.8,-449.2,-5069.7,1462.1,-453.7
"Target_12",568.6,4827.9,193.9,3035.9,1900.2,197.3,5129.7,-5385.2,1033.7,-5034.6,-1879.2,1028.8
"Target_13",3913,4869.3,168,3035,-1444.8,171.8,1785.2,-5376.6,1007.6,-5067.7,1465.8,1002.7
"Target_14",577.5,4823.4,1412.7,3031.8,1890.8,1416,5120.8,-5380.8,2252.6,-5030.6,-1869.7,2247.6
"Target_15",2101.3,4837.9,1027.8,3027,367.1,1030.7,3597,-5372.6,1867.7,-5041,-346.1,1862.5
"Target_16",3920.8,4860.2,1430.1,3025.4,-1452.2,1434.5,1777,-5367,2270.2,-5058.5,1473.9,2265.2
"Target_17",9860.1,2672.5,529.2,762.9,-7364.1,533.3,-4129.5,-3091.4,1367.7,-2856.8,7407.8,1365.2
"Target_18",9906,-966.9,-1269.7,-2878.5,-7363.4,-1264.8,-4120.8,549.6,-429.6,785,7444.8,-433.2
"Target_19",9914,-1370.3,494.4,-3281.5,-7365.9,499.2,-4122.8,952.7,1333.8,1187.7,7451.7,1331.5
"Target_2",-3453.6,827.1,-1275.7,-914.2,5972.5,-1271.9,9210.8,-1444.6,-435.5,-1043.1,-5910.8,-440.4
"Target_20",9911.1,-962.4,1941.9,-2873.5,-7368.5,1948,-4126.2,545.1,2782.4,780.3,7449.8,2779.8
"Target_3",-3481,2958.9,-1290.1,1218.1,5973.1,-1286.7,9206.4,-3576.6,-450.4,-3174.5,-5933.6,-455.2
"Target_4",-3424,-1126.4,513.7,-2867.2,5967.7,517.8,9210.2,509.4,1354.8,910,-5886.1,1348.7
"Target_5",-3449.9,845.6,529.5,-895.2,5968.9,532.5,9207,-1463.3,1370,-1061.9,-5907.5,1364.3
"Target_6",-3476.3,2971.9,547.5,1231.6,5968.3,550.9,9201.4,-3589.7,1387.6,-3187.7,-5928.7,1381.8
"Target_7",-3424.2,-1125.2,1964,-2866.3,5967.8,1968.2,9209.9,507.7,2805.8,909,-5886.2,2799.8
"Target_8",-3448.2,839.8,1952.2,-900.6,5967.4,1955,9205,-1457.4,2791.9,-1056.4,-5905.9,2786.6
"Target_9",-3473.8,2969.2,1943.4,1228.8,5965.9,1946,9198.8,-3586.8,2783.4,-3185.7,-5926.5,2777.3
