"TargetID","X","Y","Z","X","Y","Z","X","Y","Z","X","Y","Z"
"Target_01",1553.975,-3254.187,-1097.807,5173.099,4014.285,-1069.626,-2632.3,8047.03,-1705.237,-5669.16,-1901.029,-1723.193
"Target_02",-378.192,-3562.156,-1102.409,5592.272,2102.934,-1074.384,-721.488,8472.509,-1705.506,-6033.71,21.317,-1729.365
"Target_03",-2483.609,-3891.784,-1121.806,6042.976,19.113,-1093.695,1360.361,8931.774,-1721.195,-6425.075,2117.191,-1751.019
"Target_04",1546.348,-3257.326,692.044,5169.336,4004.966,720.516,-2627.434,8049.515,84.342,-5677.294,-1892.665,66.549
"Target_05",-401.84,-3562.225,702.547,5587.1,2078.047,730.551,-702.15,8474.347,98.78,-6039.824,46.061,75.596
"Target_06",-2502.522,-3888.369,714.927,6035.519,-0.128,742.264,1375.119,8929.167,115.863,-6428.713,2135.837,86.561
"Target_07",1541.448,-3256.774,2142.563,5165.162,3999.106,2170.678,-2625.024,8049.02,1535.822,-5682.648,-1887.953,1517.508
"Target_08",-400.515,-3559.507,2124.929,5579.79,2079.019,2151.764,-706.809,8471.793,1523.457,-6041.953,44.327,1497.15
"Target_09",-2504.37,-3886.14,2110.586,6027.92,-1.775,2138.109,1373.225,8927.037,1511.152,-6430.443,2137.128,1481.996
"Target_10",-4910.784,-158.791,-1135.419,2457.298,-2619.346,-1121.672,4011.257,5354.077,-1729.488,-2765.623,4652.019,-1753.074
"Target_11",-5425.281,3152.634,-1125.73,-818.518,-3324.187,-1124.346,4728.472,2080.65,-1719.226,530.176,5264.332,-1732.544
"Target_12",-4912.684,-147.793,357.71,2441.83,-2622.158,369.976,4010.312,5343.593,-237.147,-2759.067,4653.893,-261.006
"Target_13",-5427.155,3156.735,331.298,-826.809,-3327.907,332.623,4727.367,2077.189,-263.106,529.19,5266.216,-276.621
"Target_14",-4912.519,-138.486,1575.682,2429.392,-2623.639,1588.877,4008.327,5334.318,981.36,-2753.826,4655.26,958.044
"Target_15",-5141.671,1367.683,1190.676,939.411,-2939.623,1198.258,4330.595,3844.589,596.37,-1253.415,4927.793,578.481
"Target_16",-5421.711,3165.073,1593.287,-840.781,-3323.463,1595.396,4719.851,2068.358,998.986,532.978,5261.839,985.213
"Target_17",-4095.734,9355.444,697.545,-7093.524,-2357.898,679.271,3779.48,-4191.74,98.724,6762.414,4117.796,109.386
"Target_18",-494.338,9917.024,-1089.346,-7857.11,1206.824,-1109.238,221.885,-4973.359,-1698.146,7435.828,532.763,-1676.498
"Target_19",-101.522,9980.865,672.438,-7949.583,1594.802,654.407,-169.76,-5061.372,67.073,7505.629,144.123,89.026
"Target_20",-509.412,9919.95,2120.564,-7870.1,1190.645,2102.055,230.247,-4974.938,1514.21,7428.347,548.663,1534.897
