"TargetID","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"RO_target7",835.802,-2319.736,-1008.184,2331.055,821.768,-1236.471,-867.596,2326.758,-1385.689,-2326.906,-840.567,-1740.17
"RO_target11",1131.884,-2258.543,595.53,2266.909,1098.31,370.262,-1148.049,2237.209,218.488,-2244.676,-1139.848,-138.306
"RO_target21",894.326,-2354.898,1655.428,2357.047,846.548,1427.835,-901.376,2318.988,1278.697,-2329.401,-906.385,923.92
"RO_target4",-1380.443,-3063.171,48.727,3047.247,-1415.837,-204.993,1352.381,3075.022,-336.51,-3069.952,1369.313,-666.403
"RO_target2",-1056.094,-2975.251,1453.221,2958.712,-1107.255,1202.95,1041.074,2961.989,1068.915,-2963.156,1040.458,735.678
"RO_target20",-1861.888,-2702.933,90.64,2681.819,-1894.266,-170.235,1837.753,2719.284,-304.977,-2711.275,1851.853,-628.11
"RO_target8",-2213.516,-1623.542,58.174,1598.109,-2232.689,-210.774,2199.645,1644.305,-357.126,-1635.114,2210.318,-672.599
"RO_target25",-2269.088,-1469.795,1377.162,1439.164,-2303.221,1107.198,2268.43,1470.152,959.523,-1465.621,2263.016,645.066
"RO_target1",-2689.799,-140.523,-1016.987,113.968,-2681.7,-1297.413,2681.305,183.431,-1460.094,-168.199,2698.804,-1764.345
"RO_target23",-2670.316,-214.34,261.936,183.452,-2677.61,-17.497,2672.551,235.996,-179.917,-225.853,2674.551,-484.845
"RO_target5",-2671.349,-221.807,1401.45,187.182,-2692.924,1121.702,2683.784,225.612,959.683,-219.617,2671.976,655.2
"RO_target29",-3012.966,830.288,1431.715,-868.583,-3022.607,1143.913,3036.234,-823.25,969.362,831.427,3017.452,673.675
"RO_target24",-2554.067,1658.116,1737.779,-1692.249,-2558.775,1453.746,2587.963,-1660.255,1267.13,1665.374,2562.383,968.749
"RO_target17",-1692.302,1950.164,817.146,-1972.54,-1683.207,542.705,1720.76,-1946.898,350.079,1951.872,1705.067,42.172
"RO_target27",-1685.675,1937.288,1720.516,-1963.073,-1687.761,1444.887,1722.563,-1948.52,1252.505,1949.856,1695.573,944.585
"RO_target14",-770.402,2285.282,-923.893,-2291.531,-736.3,-1188.738,785.743,-2263.342,-1388.785,2270.826,791.277,-1706.841
"RO_target18",-486.067,2343.827,831.306,-2352.811,-472.361,570.067,517.231,-2353.208,367.514,2351.553,500.628,47.359
"RO_target12",-869.09,2204.142,1728.855,-2221.189,-868.486,1463.008,908.612,-2223.348,1264.262,2221.361,880.633,946.919
